Mz,RT,Mode,Adduct,Neutral_Mass,Library_Match,KEGG_ID,Compound_Name,Exact_Mass,PPM_Error,Formula,SMILES,PubChem_CID,ChEBI_ID,Pathways
100.963,32.5218,POS,[M+K]+,61.999841999999994,KEGG,C01353,Carbonic acid,62.0004,8.903248495473639,,,4557,28976,map04964;map04966;map04970;map04971;map04972;map04976
128.9569,5.3057,POS,[M+K]+,89.993742,KEGG,C00209,Oxalate,89.9953,17.412321847985094,,,3509,30623,map00230;map00625;map00630;map01100;map01120
128.9569,40.1212,POS,[M+K]+,89.993742,KEGG,C00209,Oxalate,89.9953,17.412321847985094,,,3509,30623,map00230;map00625;map00630;map01100;map01120
151.1208,70.1942,POS,[M+NH4]+,133.086977,KEGG,C07155,Tranylcypromine,133.0891,16.320154300308566,,,9364,9652,
161.1027,73.7356,POS,[M+H]+,160.09542353312,KEGG,C02636,3-Dehydrocarnitine,160.0974,12.145674355196977,,,5616,16758,
167.0814,42.0223,POS,[M+NH4]+,149.047577,KEGG,C00650,4-Hydroxymandelonitrile,149.0477,0.6776359739198907,,,3921,18115,
181.0947,58.8523,POS,[M+H]+,180.08742353312,KEGG,C05636,3-Hydroxykynurenamine,180.0899,13.629307543283188,,,7947,27421,map00380
222.1256,48.1067,POS,[M+K]+,183.162442,KEGG,C09989,Tecostanine,183.1623,-0.698833224714649,,,12175,9425,
222.1256,59.7458,POS,[M+K]+,183.162442,KEGG,C09989,Tecostanine,183.1623,-0.698833224714649,,,12175,9425,
230.0361,45.3323,POS,[M+K]+,191.072942,KEGG,C10897,Carbendazim,191.0695,-18.134435800991657,,,13080,3392,
241.2145,27.4711,POS,[M-H2O+H]+,222.19665899999998,KEGG,C01126,"(2E,6E)-Farnesol",222.1984,7.677883221515333,,,4357,16619,map00900;map00909;map00981;map01100;map01110
259.1607,50.3286,POS,[M-H2O+H]+,240.14285900000002,KEGG,C11716,Mirasan,240.1393,-14.712076031394501,,,13881,6944,
263.126,14.9098,POS,[M+H]+,262.11872353312,KEGG,C09015,Methylripariochromene A,262.1205,6.811672420743295,,,11207,6891,
275.0721,43.2717,POS,[M+K]+,236.10894199999998,KEGG,C07261,Octamethyltrisiloxane,236.1084,-2.2531971702818843,,,9470,9147,
278.1948,53.778,POS,[M+H]+,277.18752353312,KEGG,C06824,Amitriptyline,277.1831,-16.139013267930668,,,9042,2666,
278.1948,57.8585,POS,[M+H]+,277.18752353312,KEGG,C06824,Amitriptyline,277.1831,-16.139013267930668,,,9042,2666,
291.2116,47.6718,POS,[M-H2O+H]+,272.193759,KEGG,C09890,beta-Obscurine,272.1889,-17.987186840583696,,,12076,10435,
298.2048,66.9848,POS,[M+H]+,297.19752353312,KEGG,C11840,N-(3-Oxododecanoyl)homoserine lactone,297.194,-11.828944865311248,,,14002,29639,
301.0919,12.1389,POS,[M+H]+,300.08462353312,KEGG,C03993,4-(beta-D-Glucosyloxy)benzoate,300.0845,-0.3550102592714218,,,6706,16741,map00130
301.0919,95.6059,POS,[M+H]+,300.08462353312,KEGG,C03993,4-(beta-D-Glucosyloxy)benzoate,300.0845,-0.3550102592714218,,,6706,16741,map00130
302.146,14.2146,POS,[M+NH4]+,284.11217700000003,KEGG,C01677,Coformycin,284.1121,-0.3766118057448416,,,4820,16213,
307.237,72.0844,POS,[M+NH4]+,289.20317700000004,KEGG,C07881,Dyclonine,289.2042,3.464692229059792,,,10083,,
310.1674,67.5701,POS,[M+NH4]+,292.133577,KEGG,C11740,SB 206553,292.1324,-3.9913248315581016,,,13905,8977,
313.1968,39.5862,POS,[M+H]+,312.18952353312,KEGG,C14561,"2,4,6-Triphenyl-1-hexene",312.1878,-5.517587843827296,,,17395561,34236,
313.2122,31.8012,POS,[M+H]+,312.20492353312,KEGG,C08092,Oseltamivir,312.2049,-0.0529559874220258,,,10292,7798,
316.1166,45.343,POS,[M+H]+,315.10932353312,KEGG,C08528,Hippeastrine,315.1107,4.282535549517239,,,10721,5724,
316.1787,47.1981,POS,[M+Na]+,293.189482,KEGG,C10995,Amitraz,293.1892,-0.9686568497772146,,,13178,2665,
317.0644,0.6905,POS,[M+H]+,316.05712353312,KEGG,C04443,3-O-Methylquercetin,316.0583,3.7318155239194373,,,7072,16860,map00944;map01110
319.2997,73.4964,POS,[M+Na]+,296.310482,KEGG,C01389,Phytol,296.3079,-8.659835395231218,,,4582,17327,
321.3314,87.7446,POS,[M+Na]+,298.342182,KEGG,C13815,Tetrapentylammonium,298.3474,17.40618763732098,,,854060,35009,
323.1576,15.9734,POS,[M+H]+,322.15032353312,KEGG,C12755,Mequitazine,322.1504,0.14423974341586807,,,583144,31821,
325.1858,60.1155,POS,[M-H2O+H]+,306.167959,KEGG,C01670,Bz-Arg-OEt,306.1692,4.02393511077979,,,4815,3251,
326.1707,66.4378,POS,[M+K]+,287.207542,KEGG,C02838,L-Octanoylcarnitine,287.2097,7.36749454859683,,,5780,18102,
337.1835,17.5064,POS,[M-H2O+H]+,318.165659,KEGG,C09170,Eseramine,318.1692,11.101135210846165,,,11362,4854,
343.1667,25.4637,POS,[M+K]+,304.20354199999997,KEGG,C05139,16alpha-Hydroxydehydroepiandrosterone,304.2038,0.9960436293368551,,,7558,27771,map00140
346.174,17.52,POS,[M+H]+,345.16672353312,KEGG,C13591,Metipranolol hydrochloride,345.1707,11.479863526390453,,,853953,34845,
353.1217,40.5061,POS,[M-H2O+H]+,334.103859,KEGG,C09141,Byakangelicin,334.1053,4.172355279514387,,,11333,3250,
357.2112,40.2289,POS,[M+NH4]+,339.17737700000004,KEGG,C11775,Xamoterol,339.1794,6.026345324190958,,,13939,10055,
358.1609,45.3501,POS,[M+Na]+,335.17168200000003,KEGG,C06176,Senecionine,335.1733,4.746821063368206,,,8427,9107,map00960;map01064;map01110
378.1989,62.9474,POS,[M+K]+,339.23574199999996,KEGG,C06965,Disopyramide,339.2311,-13.792768333807375,,,9179,4657,
394.2264,62.7229,POS,[M+NH4]+,376.192577,KEGG,C09714,Rhipocephalin,376.1886,-10.60095345807261,,,11902,8827,
405.3658,80.7207,POS,[M+H]+,404.35852353312,KEGG,C05424,"5alpha-Cholestan-5alpha,6beta-diol",404.3654,17.082530670228017,,,7788,27556,
406.1926,69.7593,POS,[M+H]+,405.18532353312,KEGG,C06917,Clomiphene,405.1859,1.5263802612389703,,,9134,3752,
419.3384,13.0271,POS,[M-H2O+H]+,400.320559,KEGG,C03199,"1,2-Didecanoylglycerol",400.3189,-4.206628818210571,,,6076,18155,
420.2688,27.0078,POS,[M+NH4]+,402.234977,KEGG,C13154,Dehydrocholic acid,402.2406,14.039057573082196,,,585218,31459,
425.2152,25.8601,POS,[M+H]+,424.20792353312,KEGG,C09776,Didrovaltratum,424.2097,4.230158798267153,,,11964,4517,
428.2819,23.9729,POS,[M+NH4]+,410.248077,KEGG,C04036,1-Palmitoylglycerol 3-phosphate,410.2433,-11.54423449018802,,,6739,64023,
444.1959,72.1634,NEG,[M+CH3COO]-,385.182049,KEGG,C16709,O-Methylandrocymbine,385.1889,17.84610684176007,,,96023233,80674,map00950;map01063;map01110
446.2674,15.745,POS,[M+K]+,407.304242,KEGG,C08669,Cassaidine,407.3036,-1.676879171763925,,,10862,3453,
447.2272,27.0073,POS,[M+Na]+,424.237982,KEGG,C01844,Pravastatin,424.2461,19.142557584617496,,,4962,63618,map04976
450.2238,15.5838,POS,[M+NH4]+,432.189977,KEGG,C02008,Aspulvinone H,432.1937,8.55410860207962,,,5104,17099,
450.2979,25.0491,POS,[M+H]+,449.29062353312,KEGG,C00908,Gentamicin C1a,449.2849,-12.629983406775622,,,4163,27784,map00524;map01110
454.235,7.188,POS,[M+K]+,415.271842,KEGG,C07241,Salmeterol,415.2723,1.0041615102504378,,,9450,9011,
464.3123,31.7111,POS,[M+Na]+,441.323082,KEGG,C07707,Perindopril erbumine,441.3203,-6.369483298424746,,,9909,8025,
464.3123,32.4897,POS,[M+Na]+,441.323082,KEGG,C07707,Perindopril erbumine,441.3203,-6.369483298424746,,,9909,8025,
468.3761,49.3158,POS,[M+NH4]+,450.342277,KEGG,C02059,Phylloquinone,450.3498,16.6628815086421,,,5148,18067,map00130;map01100;map01110;map01240;map04977
474.31,12.517,POS,[M+Na]+,451.320782,KEGG,C05150,Teleocidin B-1,451.3199,-2.0030099123407,,,7568,182948,
476.3281,10.463,POS,[M+H]+,475.32082353312,KEGG,C12786,Dinoprost tromethamine,475.3145,-13.267950419476772,,,583175,31502,
488.2947,18.1338,POS,[M+Na]+,465.305482,KEGG,C01921,Glycocholate,465.309,7.642291220637764,,,5027,29746,map00120;map00121;map01100;map04976;map04979
493.2471,54.5802,POS,[M+K]+,454.28394199999997,KEGG,C07188,Verapamil,454.2832,-1.7257928961822442,,,9397,9948,
499.1255,74.4138,NEG,[M+CH3COO]-,440.111649,KEGG,C09105,Hallactone B,440.1141,5.578130016725946,,,11297,5607,
502.2673,44.3336,POS,[M+K]+,463.30414199999996,KEGG,C02033,Gentamicin C2,463.3006,-7.64724438828609,,,5126,28292,map00524;map01110
509.3374,12.2815,POS,[M+K]+,470.374242,KEGG,C14495,Eburicoic acid,470.376,3.7268197181764204,,,17395495,34734,
510.2838,48.6675,POS,[M+NH4]+,492.249977,KEGG,C09237,Roxburghine B,492.2525,5.1782633196297745,,,11428,8903,
517.3006,20.2028,POS,[M+H]+,516.2933235331201,KEGG,C11991,L-Olivosyl-oleandolide,516.2934,0.2410778413184872,,,14152,29614,map00522;map01100;map01110
518.3239,66.4533,POS,[M+NH4]+,500.290077,KEGG,C11758,Mupirocin,500.2985,16.90219412451744,,,13922,,
518.3438,14.91,POS,[M+NH4]+,500.309977,KEGG,C08807,11-Deoxocucurbitacin I,500.3138,7.619276399083609,,,11000,712,
523.2761,48.77,POS,[M+K]+,484.312942,KEGG,C08971,Propapyriogenin A2,484.3189,12.250343704361372,,,11163,8484,
525.2555,30.4164,POS,[M+K]+,486.29234199999996,KEGG,C08176,Hydrocortisone cypionate,486.2981,11.920812851355953,,,10376,5783,
525.2655,22.6429,POS,[M+K]+,486.30234199999995,KEGG,C08176,Hydrocortisone cypionate,486.2981,-8.642771455049504,,,10376,5783,
525.2655,33.9147,POS,[M+K]+,486.30234199999995,KEGG,C08176,Hydrocortisone cypionate,486.2981,-8.642771455049504,,,10376,5783,
531.3068,19.3303,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,30.7424,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,46.481,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,52.4437,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,62.3876,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,65.1098,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,66.4747,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,67.1409,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,73.0607,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
531.3068,78.3863,POS,[M+H]+,530.29952353312,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,18.05482836595801,,,14153,29613,map00522;map01100;map01110
537.2714,48.5527,POS,[M-H2O+H]+,518.253559,KEGG,C04217,all-trans-Pentaprenyl diphosphate,518.2562,5.149988752839315,,,6890,16818,map00900;map01110
541.4694,77.6908,POS,[M+H]+,540.46212353312,KEGG,C05430,all-trans-zeta-Carotene,540.4695,13.652144264601793,,,7794,28068,map00906;map01100;map01110
547.3373,15.6052,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,22.6885,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,31.4516,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,45.8389,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,47.8503,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,63.7218,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,64.8299,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
547.3373,77.2831,POS,[M+H]+,546.3300235331201,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,18.98937717695725,,,8856,28343,map00522;map01100;map01110
548.3388,22.225,POS,[M+NH4]+,530.304977,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,7.771000044642193,,,14153,29613,map00522;map01100;map01110
548.3388,73.3266,POS,[M+NH4]+,530.304977,KEGG,C11992,L-Oleandrosyl-oleandolide,530.3091,7.771000044642193,,,14153,29613,map00522;map01100;map01110
550.3446,32.9914,POS,[M+NH4]+,532.310777,KEGG,C05468,5beta-Cyprinolsulfate,532.307,-7.114265131604575,,,7828,2149,map00120
550.3446,87.6402,POS,[M+NH4]+,532.310777,KEGG,C05468,5beta-Cyprinolsulfate,532.307,-7.114265131604575,,,7828,2149,map00120
550.3446,88.4175,POS,[M+NH4]+,532.310777,KEGG,C05468,5beta-Cyprinolsulfate,532.307,-7.114265131604575,,,7828,2149,map00120
553.2882,50.4261,POS,[M+H]+,552.28092353312,KEGG,C10000,Canthiumine,552.2737,-13.159123935631092,,,12186,3364,
555.447,79.0356,POS,[M-H2O+H]+,536.429159,KEGG,C02094,beta-Carotene,536.4382,16.85777114890146,,,5178,17579,map00830;map00906;map01060;map01062;map01070;map01100;map01110;map01240;map04977
561.2866,46.1381,POS,[M+Na]+,538.297382,KEGG,C09091,Euphorbia factor Ti2,538.2931,-8.040165426602032,,,11283,4941,
565.3696,23.4375,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,27.3615,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,47.8257,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,50.2375,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,51.8237,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,55.2505,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,70.2336,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
565.3696,86.7864,POS,[M+H]+,564.36232353312,KEGG,C12066,Valnemulin,564.3597,-4.659299549968784,,,14219,29705,
569.2798,56.7269,POS,[M-H2O+H]+,550.261959,KEGG,C12111,Manumycin A,550.2679,10.800310475400371,,,14258,29623,
569.2798,61.8625,POS,[M-H2O+H]+,550.261959,KEGG,C12111,Manumycin A,550.2679,10.800310475400371,,,14258,29623,
569.3215,20.6119,POS,[M-H2O+H]+,550.303659,KEGG,C08307,Hordatine A,550.3016,-3.737936258272578,,,10505,5762,map00999;map01100;map01110
569.3215,30.662,POS,[M-H2O+H]+,550.303659,KEGG,C08307,Hordatine A,550.3016,-3.737936258272578,,,10505,5762,map00999;map01100;map01110
569.3215,39.4266,POS,[M-H2O+H]+,550.303659,KEGG,C08307,Hordatine A,550.3016,-3.737936258272578,,,10505,5762,map00999;map01100;map01110
569.3319,66.2538,POS,[M+Na]+,546.342682,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,-4.180526389695097,,,8856,28343,map00522;map01100;map01110
569.3527,44.8395,POS,[M+H]+,568.3454235331201,KEGG,C11977,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1a'' aglycone",568.34,-9.535632549605449,,,14138,190261,map00522;map01100;map01110
573.4545,67.5947,POS,[M+H]+,572.4472235331201,KEGG,C07551,Pancuronium,572.4553,14.12264143747495,,,9754,7907,
573.4963,67.5014,POS,[M+Na]+,550.507082,KEGG,C13864,1-O-(1Z-Tetradecenyl)-2-(9Z-octadecenoyl)-sn-glycerol,550.4961,-19.928898934540484,,,854109,34111,
585.2985,50.1589,POS,[M+K]+,546.335342,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,9.254389404084058,,,8856,28343,map00522;map01100;map01110
585.2985,56.7124,POS,[M+K]+,546.335342,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,9.254389404084058,,,8856,28343,map00522;map01100;map01110
585.2985,59.4275,POS,[M+K]+,546.335342,KEGG,C06630,3-O-alpha-Mycarosylerythronolide B,546.3404,9.254389404084058,,,8856,28343,map00522;map01100;map01110
591.3669,37.1252,POS,[M+NH4]+,573.333077,KEGG,C09997,Amphibine A,573.3315,-2.741861691001165,,,12183,2680,
591.3669,46.8908,POS,[M+NH4]+,573.333077,KEGG,C09997,Amphibine A,573.3315,-2.741861691001165,,,12183,2680,
591.3669,55.5431,POS,[M+NH4]+,573.333077,KEGG,C09997,Amphibine A,573.3315,-2.741861691001165,,,12183,2680,
591.3669,64.0094,POS,[M+NH4]+,573.333077,KEGG,C09997,Amphibine A,573.3315,-2.741861691001165,,,12183,2680,
591.4093,37.5041,POS,[M+Na]+,568.420082,KEGG,C06098,Zeaxanthin,568.428,13.984375731561988,,,8363,27547,map00906;map00999;map01062;map01070;map01100;map01110
593.2795,86.0733,POS,[M+K]+,554.316342,KEGG,C11961,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1b'' aglycone",554.3244,14.453840511178548,,,14122,138850,map00522;map01100;map01110
593.3646,21.0406,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,30.0557,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,31.2478,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,32.3865,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,43.82,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,64.104,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,74.8378,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,87.9519,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
594.2903,89.9025,POS,[M+NH4]+,576.256477,KEGG,C09667,Tiliacorine,576.2624,10.31658686241019,,,11857,9597,
601.2932,14.1579,POS,[M-H2O+H]+,582.275359,KEGG,C06512,2'-Norberbamunine,582.273,-4.073674015864852,,,8743,845,map00950
604.3914,82.3874,POS,[M+NH4]+,586.357577,KEGG,C11969,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''2a'' aglycone",586.3506,-11.951751414038004,,,14130,138851,map00522
605.4223,86.5314,POS,[M+Na]+,582.4330819999999,KEGG,C13493,Polidocanol,582.4343,2.0877934954133095,,,853875,46859,
620.4038,64.0612,POS,[M+NH4]+,602.3699770000001,KEGG,C09929,Garcinol,602.3607,-15.336089700393185,,,12115,5276,
621.3613,29.0794,POS,[M-H2O+H]+,602.343459,KEGG,C11956,Avermectin A2b aglycone,602.3455,3.360209145878866,,,14117,29532,map00522
621.4048,20.3666,POS,[M+K]+,582.441642,KEGG,C13493,Polidocanol,582.4343,-12.608988558529504,,,853875,46859,
629.2222,42.775,POS,[M+Na]+,606.232982,KEGG,C08750,Bruceantinol,606.2312,-2.8718331924048703,,,10943,3189,
635.3925,19.3477,POS,[M-H2O+H]+,616.3746590000001,KEGG,C09085,Calebassone,616.3777,4.9774921067687,,,11277,3318,
635.4034,44.6581,POS,[M-H2O+H]+,616.3855590000001,KEGG,C09085,Calebassone,616.3777,-12.706332725760062,,,11277,3318,
635.4254,26.9765,POS,[M-H2O+H]+,616.407559,KEGG,C05151,12-O-Tetradecanoylphorbol 13-acetate,616.3975,-16.287924853308947,,,7569,37537,map04613
635.4254,41.3443,POS,[M-H2O+H]+,616.407559,KEGG,C05151,12-O-Tetradecanoylphorbol 13-acetate,616.3975,-16.287924853308947,,,7569,37537,map04613
664.3861,52.5981,POS,[M+H]+,663.3788235331201,KEGG,C13900,1-Palmitoyl-2-(5-keto-6-octenedioyl)-sn-glycero-3-phosphocholine,663.3747,-6.14209102795873,,,854145,34121,
664.3861,57.9961,POS,[M+H]+,663.3788235331201,KEGG,C13900,1-Palmitoyl-2-(5-keto-6-octenedioyl)-sn-glycero-3-phosphocholine,663.3747,-6.14209102795873,,,854145,34121,
665.3994,61.9902,POS,[M+H]+,664.3921235331201,KEGG,C08968,Phytolaccoside B,664.3823,-14.841435909365826,,,11160,8194,
665.3994,73.058,POS,[M+H]+,664.3921235331201,KEGG,C08968,Phytolaccoside B,664.3823,-14.841435909365826,,,11160,8194,
665.4106,57.2225,POS,[M+NH4]+,647.3767770000001,KEGG,C13902,1-Palmitoyl-2-(5-keto-8-oxo-6-octenoyl)-sn-glycero-3-phosphocholine,647.3798,4.7221341705602065,,,854147,34122,
681.4201,24.5036,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,39.7931,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,63.6571,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,73.1249,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,78.2408,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
697.2164,19.001,POS,[M+H]+,696.2091235331201,KEGG,C12032,Clorobiocin,696.2086,-0.769213016624558,,,14187,47302,map00401;map01110
697.47,74.4097,POS,[M+Na]+,674.480782,KEGG,C13889,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphate,674.4887,11.674165091356537,,,854134,64844,
699.5331,75.3146,NEG,[M+HCOO]-,654.534886,KEGG,C05811,2-Octaprenyl-6-hydroxyphenol,654.5376,4.1174275927242014,,,8106,1233,
708.4094,28.4384,POS,[M+NH4]+,690.375577,KEGG,C09193,Gabunamine,690.3781,3.6849507495591496,,,11385,5238,
708.421,55.2836,POS,[M+NH4]+,690.3871770000001,KEGG,C09193,Gabunamine,690.3781,-13.117277234858808,,,11385,5238,
708.4559,61.2098,POS,[M+Na]+,685.466682,KEGG,C00773,Pepstatin,685.4626,-5.98570303667425,,,4035,7989,
708.4559,70.6327,POS,[M+Na]+,685.466682,KEGG,C00773,Pepstatin,685.4626,-5.98570303667425,,,4035,7989,
717.5964,77.3666,POS,[M+H]+,716.5891235331201,ChEBI,,N-octadecanoyl-15-methylhexadecasphingosine-1-phosphocholine,716.58322,-8.238379464906059,C40H81N2O6P,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCC(C)C,,CHEBI:119713,
738.4717,73.7597,POS,[M-H2O+H]+,719.4538590000001,KEGG,C06616,Erythromycin C,719.4456,-11.492050388798711,,,8842,64273,map00522;map01100;map01110
740.502,64.9697,POS,[M+K]+,701.5388419999999,KEGG,C13878,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonoethanolamine,701.5359,-4.1351951257342305,,,854123,34085,
759.2611,89.7079,POS,[M+NH4]+,741.2272770000001,KEGG,C12645,Pelargonidin 3-O-rutinoside 5-O-beta-D-glucoside,741.2242,-4.1458269217011186,,,583035,31969,map00942
763.6226,80.8932,POS,[M-H2O+H]+,744.6047590000001,KEGG,C13876,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonocholine,744.5907,-18.859669952787833,,,854121,34084,
797.5081,69.7486,POS,[M+Na]+,774.518882,KEGG,C11313,Oligomycin C,774.5282,12.029403306412886,,,13488,7752,
817.4958,25.8565,POS,[M-H2O+H]+,798.477959,KEGG,C08985,Thalicoside A,798.4766,-1.755840576807041,,,11177,9510,
820.7198,80.7856,POS,[M+NH4]+,802.685977,ChEBI,,N-tetracosanoyl-14-methylhexadecasphinganine-1-phosphocholine,802.69278,8.475294442562298,C46H95N2O6P,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCC(C)CC,,CHEBI:125205,
820.7198,86.8662,POS,[M+NH4]+,802.685977,ChEBI,,N-tetracosanoyl-14-methylhexadecasphinganine-1-phosphocholine,802.69278,8.475294442562298,C46H95N2O6P,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCC(C)CC,,CHEBI:125205,
901.7552,80.7886,POS,[M+K]+,862.7920419999999,ChEBI,,"1-hexadecanoyl-2,3-dioctadecanoyl-sn-glycerol",862.79894,7.994974065942993,C55H106O6,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,,CHEBI:109896,
